C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53
62.38,53.75,32.11,60.792,22.67,41.224,37.6,47.157,58.178,41.076,17.6,50,0.32466,3612.4,4430.1,9.452,26.863,42.709,2710.8,73.012,120.39,0.34837,80.142,49.83,2639.4,24.412,50.269,3105.7,23.163,67.18,272.07,344.95,94.589,77.51,32.981,8.9825,26.427,6.894,18.82,1.6614,33.285,13.666,23.975,1.1578,18.375,2.2429,4.8441,2.2266,0.0079427,0.82858,0.11178,54.15,43.654
62.23,53.267,31.898,62.249,23.185,41.261,40.106,46.43,58.172,41.755,16.458,50,0.32681,3620.9,4470.5,9.5523,27.082,42.405,2714,74.25,120.42,0.34806,79.973,50.682,2642.8,24.5,49.955,3107,23.643,67.165,268.84,345.86,94.582,77.555,32.981,8.9825,26.427,6.894,18.82,1.6614,33.285,13.666,23.975,1.1578,18.375,2.2429,4.8441,2.2266,0.01912,0.81227,0.10071,53.146,43.936
62.67,53.852,20.206,65.255,23.932,38.396,41.175,43.215,58.23,40.471,16.397,50,0.20641,3648.3,4454.5,9.4066,26.825,42.443,2715.3,75.637,120.39,0.32492,79.944,51.045,2646.4,24.67,48.566,3105.8,23.67,67.115,268.52,346.32,94.501,77.5,32.588,8.9297,25.545,6.622,18.263,1.6636,33.181,13.873,23.511,1.2431,18.806,2.2428,4.9503,2.1971,0.01912,0.81227,0.10071,53.146,43.936
63.11,53.764,20.312,60.398,23.789,38.445,30.945,46.007,58.112,42.064,20.152,50,0.20532,3622.5,4461.9,9.6564,26.679,42.609,2718.5,74.4,120.44,0.32452,80.129,47.569,2649.5,23.191,49.772,3109.4,22.062,67.125,270.15,346.59,94.457,78.004,32.588,8.9297,25.545,6.622,18.263,1.6636,33.181,13.873,23.511,1.2431,18.806,2.2428,4.9503,2.1971,0.01912,0.81227,0.10071,53.146,43.936
63.81,54.266,23.158,61.207,23.455,40.831,39.439,44.082,58.203,41.858,19.493,50,0.24014,3727.5,4537.5,9.4942,27.073,42.456,2719.6,73.529,120.41,0.34976,80.141,50.455,2650.1,24.414,48.941,3113.5,22.339,67.17,269.4,346.82,94.249,77.661,32.691,8.841,26.451,6.6544,18.553,1.6881,33.664,13.71,23.898,1.1213,17.719,2.2686,4.7583,2.2836,0.01912,0.81227,0.10071,53.146,43.936
63.62,54.389,23.134,62.693,23.448,41.123,37.626,49.745,58.292,42.394,18.531,50,0.24038,3738.3,4527.1,9.3862,26.969,42.264,2719.6,74.776,120.43,0.34736,80.062,49.839,2649.1,25.128,51.387,3112.9,22.737,67.201,268.66,346.43,94.197,77.663,32.691,8.841,26.451,6.6544,18.553,1.6881,33.664,13.71,23.898,1.1213,17.719,2.2686,4.7583,2.2836,0.01912,0.81227,0.10071,53.146,43.936
64.12,53.518,21.918,60.492,23.285,38.847,30.931,48.856,57.84,42.36,18.184,50,0.22338,3706,4545.7,9.4781,27.109,42.412,2717.2,75.119,120.41,0.32991,79.878,47.564,2647.2,23.402,51.003,3111.2,22.891,67.193,269.03,346.79,94.173,77.371,32.579,8.9699,26.548,6.8191,18.378,1.6376,33.231,13.833,23.817,1.2099,17.739,2.3191,4.7352,2.2776,0.0067905,0.80751,0.091462,53.501,44.646
63.59,53.825,21.812,63.823,23.37,38.785,37.865,49.763,57.566,41.954,19.594,50,0.22445,3736.8,4520,9.4531,26.975,42.596,2715.1,74.715,120.37,0.33042,79.592,49.92,2644.1,25.263,51.395,3108.6,22.319,67.108,270.26,346.96,94.265,76.863,32.579,8.9699,26.548,6.8191,18.378,1.6376,33.231,13.833,23.817,1.2099,17.739,2.3191,4.7352,2.2776,0.0067905,0.80751,0.091462,53.501,44.646
63.52,54.439,22.479,61.892,23.727,40.179,34.194,48.048,57.571,41.818,15.809,50,0.23007,3664.6,4509,9.3815,26.926,42.136,2714.2,75.184,120.38,0.34517,79.562,48.673,2644.1,24.968,50.654,3107,23.905,67.016,268.43,347.06,94.349,77.376,32.591,8.9514,26.122,6.8557,18.07,1.6382,33.339,13.955,23.864,1.3588,17.948,2.2784,4.8391,2.4279,0.0067905,0.80751,0.091462,53.501,44.646
63.59,54.019,22.645,61.25,23.724,40.295,36.603,47.033,57.506,41.405,18.729,50,0.22838,3660.7,4544.1,9.5578,26.862,42.422,2717,74.995,120.39,0.34422,79.71,49.491,2646.3,25.475,50.216,3107.8,22.679,66.99,267.38,346.93,94.335,77.236,32.591,8.9514,26.122,6.8557,18.07,1.6382,33.339,13.955,23.864,1.3588,17.948,2.2784,4.8391,2.4279,0.0067905,0.80751,0.091462,53.501,44.646
63.04,54.744,21.917,65.035,23.89,41.838,33.391,47.596,57.213,40.685,18.8,50,0.2251,3676.4,4554.2,9.3423,26.672,42.442,2717.7,75.814,120.39,0.35928,79.827,48.4,2647.9,24.588,50.459,3109,22.636,66.974,268.87,346.92,94.371,77.546,32.494,8.829,26.204,6.9592,17.938,1.6181,33.669,13.666,24.028,1.0963,17.535,2.2504,4.7818,2.2841,0.0067905,0.80751,0.091462,53.501,44.646
63.22,54.477,22.131,61.273,23.358,41.87,36.911,45.997,56.957,41.567,18.916,50,0.22292,3666.3,4576.6,9.5284,27.085,42.155,2716.6,74.727,120.38,0.35901,79.617,49.596,2645.7,26.046,49.768,3109.5,22.606,66.963,268.08,346.91,94.416,77.039,32.494,8.829,26.204,6.9592,17.938,1.6181,33.669,13.666,24.028,1.0963,17.535,2.2504,4.7818,2.2841,0.01843,0.76854,0.081912,53.014,43.964
62.93,54.732,22.565,62.058,23.973,38,34.111,51.706,56.744,41.226,17.601,50,0.22997,3628.7,4593.2,9.264,26.77,42.23,2719,75.273,120.37,0.32722,79.64,48.644,2649.1,23.422,52.235,3109.2,23.147,66.896,267.91,347.12,94.497,77.499,32.475,8.6486,26.345,6.9268,18.335,1.7214,33.396,13.918,24.147,1.2017,17.789,2.2565,4.7429,2.2502,0.01843,0.76854,0.081912,53.014,43.964
62.53,55.06,22.57,62.197,23.892,38.152,35.919,48.45,56.651,41.358,15.307,50,0.22992,3652.4,4565.8,9.3886,26.736,42.133,2721.8,74.227,120.4,0.32597,79.857,49.259,2652.5,25.104,50.828,3112.5,24.102,66.907,266.38,346.77,94.525,77.69,32.475,8.6486,26.345,6.9268,18.335,1.7214,33.396,13.918,24.147,1.2017,17.789,2.2565,4.7429,2.2502,0.01843,0.76854,0.081912,53.014,43.964
62.95,54.652,22.163,59.991,23.835,41.531,33.329,43.084,56.672,41.888,17.252,50,0.23158,3640.7,4527.5,9.3909,26.91,42.112,2723,74.628,120.4,0.35314,79.972,48.379,2653.3,24.081,48.509,3113.9,23.272,66.956,263.51,346.59,94.329,77.681,32.777,8.7219,26.729,6.9494,18.695,1.6754,34.066,13.806,24.208,1.1974,18.264,2.2596,4.7688,2.2921,0.01843,0.76854,0.081912,53.014,43.964
62.47,54.305,22.546,62.571,23.275,41.356,39.348,43.534,56.314,41.283,19.99,50,0.22768,3668.7,4556.5,9.279,26.906,42.151,2718.9,74.58,120.39,0.35458,79.667,50.424,2648.5,27.719,48.704,3113.4,22.142,66.949,264.91,346.27,94.569,77.097,32.777,8.7219,26.729,6.9494,18.695,1.6754,34.066,13.806,24.208,1.1974,18.264,2.2596,4.7688,2.2921,0.01843,0.76854,0.081912,53.014,43.964
62.67,53.867,19.088,61.868,23.883,40.026,33.351,49.488,55.218,40.901,20.754,50,0.19535,3642.5,4522.9,9.5163,26.505,42.164,2719.9,74.848,120.4,0.34137,79.593,48.386,2650.2,26.616,51.276,3109.6,21.815,66.855,262.55,346.63,94.601,77.348,32.206,8.9043,27.185,6.7865,18.375,1.6525,33.802,13.828,24.064,1.3018,17.686,2.2387,4.8003,2.3284,0.013855,0.7693,0.1023,52.944,44.094
63.06,53.833,19.28,61.42,23.983,40.298,41.685,49.886,54.642,41.04,18.516,50,0.1934,3619.7,4525.7,9.3919,27.097,42.592,2719.7,74.841,120.38,0.33914,79.64,51.218,2649.4,25.438,51.448,3110.9,22.768,66.751,261.24,346.42,94.56,77.125,32.206,8.9043,27.185,6.7865,18.375,1.6525,33.802,13.828,24.064,1.3018,17.686,2.2387,4.8003,2.3284,0.013855,0.7693,0.1023,52.944,44.094
63.53,54.346,24.168,63.151,23.92,40.164,33.351,46.601,53.959,41.792,17.656,50,0.24788,3676.6,4552,9.41,26.879,42.251,2719.5,74.838,120.4,0.34495,79.441,48.386,2649.2,23.522,50.029,3110.6,23.13,66.637,261.18,346.76,94.6,77.412,32.148,8.8797,26.654,6.8547,18.059,1.6384,33.692,13.677,24.099,1.324,17.724,2.1755,4.7988,2.2927,0.013855,0.7693,0.1023,52.944,44.094
63.34,54.574,24.249,62.54,23.999,40.468,37.377,47.799,53.723,41.557,18.313,50,0.24706,3687.6,4532.9,9.5135,27.148,42.337,2721.5,75.267,120.43,0.34246,79.65,49.754,2651.5,25.772,50.547,3112.7,22.846,66.534,256.16,346.29,94.356,77.603,32.148,8.8797,26.654,6.8547,18.059,1.6384,33.692,13.677,24.099,1.324,17.724,2.1755,4.7988,2.2927,0.013855,0.7693,0.1023,52.944,44.094
63.27,55.099,24.982,62.953,23.593,38.307,42.859,44.303,53.172,41.198,16.076,50,0.25087,3660.3,4561.7,9.3382,27.056,42.545,2722.5,75.596,120.42,0.32635,79.707,51.617,2651.9,26.666,49.036,3114.9,23.792,66.54,254.64,346.34,94.488,77.414,32.748,8.8757,26.893,6.8653,18.278,1.6286,33.776,13.587,23.934,1.2302,17.823,2.2384,4.7406,2.2279,0.013855,0.7693,0.1023,52.944,44.094
62.70,54.993,24.914,61.929,23.65,38.1,38.908,50.983,52.656,41.809,16.9,50,0.25157,3693.5,4570.5,9.4432,26.955,42.268,2722.2,75.712,120.41,0.32804,79.649,50.275,2652.8,25.387,51.922,3115.1,23.45,66.481,251.64,346.46,94.365,77.261,32.748,8.8757,26.893,6.8653,18.278,1.6286,33.776,13.587,23.934,1.2302,17.823,2.2384,4.7406,2.2279,0.0089191,0.7741,0.091675,52.044,44
63.13,53.937,18.689,61.292,23.424,36.794,38.813,43.248,52.188,42.022,18.879,50,0.19355,3664.2,4622.4,9.4805,26.47,42.025,2724,75.314,120.4,0.31657,79.87,50.242,2654.2,24.594,48.58,3115.2,22.6,66.416,248.75,346.09,94.424,77.592,32.92,8.9283,26.92,6.9447,18.334,1.656,33.99,13.766,24.662,1.2607,17.918,2.1882,4.7255,2.3642,0.0089191,0.7741,0.091675,52.044,44
63.07,54.612,18.934,61.4,23.926,37.062,40.618,43.373,51.572,41.664,16.959,50,0.19105,3667.8,4566,9.3817,27.244,42.616,2722.5,74.423,120.4,0.31437,79.731,50.856,2651.8,25.078,48.634,3113.8,23.419,66.39,247.55,345.95,94.566,77.208,32.92,8.9283,26.92,6.9447,18.334,1.656,33.99,13.766,24.662,1.2607,17.918,2.1882,4.7255,2.3642,0.0089191,0.7741,0.091675,52.044,44
63.07,54.587,16.384,59.426,23.55,39.06,41.792,46.448,50.897,41.343,19.085,50,0.17019,3625.7,4563.2,9.4321,26.981,41.841,2719.1,75.081,120.41,0.33553,79.693,51.254,2648.8,27.74,49.963,3111.1,22.521,66.296,247.04,345.97,94.484,77.282,32.283,8.6713,26.517,6.7987,18.504,1.642,33.37,13.804,24.119,1.2451,17.978,2.2444,4.727,2.1841,0.0089191,0.7741,0.091675,52.044,44
62.42,54.725,16.536,58.89,23.959,39.348,35.048,45.495,50.307,40.133,19.437,50,0.16865,3663.7,4551.7,9.4215,27.133,42.071,2720.3,75.802,120.39,0.33317,79.864,48.963,2650.1,24.576,49.551,3111.2,22.368,66.249,245.61,345.39,94.651,77.284,32.283,8.6713,26.517,6.7987,18.504,1.642,33.37,13.804,24.119,1.2451,17.978,2.2444,4.727,2.1841,0.0089191,0.7741,0.091675,52.044,44
63.49,54.582,22.335,60.311,23.335,39.858,35.528,45.586,50.012,41.201,19.728,50,0.22441,3676.5,4533.8,9.3895,26.862,42.448,2717.3,75.278,120.39,0.33697,79.582,49.126,2646.4,25.175,49.59,3110.1,22.266,66.172,241.01,345.37,94.568,76.9,32.488,8.8158,26.587,6.881,18.72,1.642,33.565,13.952,24.419,1.1959,17.492,2.2443,4.8207,2.2807,0.011887,0.79442,0.089346,53.823,43.075
63.22,54.395,22.251,62.702,22.935,39.733,38.772,49.876,49.44,40.396,17.214,50,0.22527,3692.1,4549.4,9.2698,26.601,42.282,2713.9,75.772,120.39,0.33799,79.327,50.228,2643.3,25.655,51.444,3107.6,23.338,65.989,239.57,344.86,94.542,76.939,32.488,8.8158,26.587,6.881,18.72,1.642,33.565,13.952,24.419,1.1959,17.492,2.2443,4.8207,2.2807,0.011887,0.79442,0.089346,53.823,43.075
63.30,54.495,20.134,59.014,23.488,41.675,41.006,45.986,48.808,41.009,15.854,50,0.20287,3647.6,4499.1,9.3397,27.112,42.201,2713.9,75.428,120.38,0.35516,79.57,50.988,2642.9,25.637,49.763,3106.4,23.904,65.869,238.85,344.43,94.626,77.376,31.896,8.8722,26.559,6.9277,18.516,1.6557,33.437,13.823,24.886,1.4306,18.184,2.2146,4.7659,2.3695,0.011887,0.79442,0.089346,53.823,43.075
63.01,54.354,20.23,61.849,23.314,41.772,36.885,44.957,48.372,41.215,16.439,50,0.20188,3664.4,4510.9,9.3884,26.84,42.142,2716.9,75.309,120.4,0.35436,80.005,49.587,2645.9,24.887,49.318,3109.3,23.638,65.875,235.91,343.95,94.664,77.572,31.896,8.8722,26.559,6.9277,18.516,1.6557,33.437,13.823,24.886,1.4306,18.184,2.2146,4.7659,2.3695,0.011887,0.79442,0.089346,53.823,43.075
62.36,54.644,25.896,60.892,22.972,40.066,35.341,50.59,47.99,40.76,18.23,50,0.2588,3677.5,4530.6,9.2749,26.698,42.283,2716.2,75.069,120.42,0.34088,80.058,49.063,2646.6,24.706,51.753,3110.2,22.886,65.932,232.29,344,94.587,77.269,32.088,8.8607,26.567,6.9145,18.522,1.6549,33.17,13.77,24.691,1.2882,18.154,2.2521,4.7549,2.2652,0.011887,0.79442,0.089346,53.823,43.075
62.97,53.653,25.908,61.8,23.256,40.134,36.35,48.509,47.74,40.59,19.602,50,0.25867,3642.2,4613.4,9.4141,26.986,42.251,2715.5,75.789,120.39,0.34032,79.902,49.405,2645,25.044,50.853,3108.9,22.316,65.889,232.03,343.84,94.615,77.043,32.088,8.8607,26.567,6.9145,18.522,1.6549,33.17,13.77,24.691,1.2882,18.154,2.2521,4.7549,2.2652,0.035414,0.81193,0.092492,54.279,44.57
62.41,54.607,23.963,58.467,23.027,39.342,36.876,46.143,47.426,40.758,18.132,50,0.24539,3679.2,4536.2,9.3973,26.924,41.947,2714.8,75.188,120.38,0.33471,79.819,49.584,2643.7,24.032,49.831,3109,22.938,65.821,229.84,343.55,94.666,77.087,31.979,8.9853,26.365,7.0878,18.466,1.6809,33.203,13.681,24.231,1.3033,18.234,2.262,4.7705,2.2467,0.035414,0.81193,0.092492,54.279,44.57
62.45,54.514,23.759,62.531,23.111,39.842,42.748,37.19,46.825,40.947,18.821,50,0.24747,3676.5,4543.9,9.2725,26.952,42.46,2714.8,74.822,120.39,0.33061,79.929,51.58,2643.9,25.304,45.962,3108.7,22.638,65.744,230.92,343.66,94.564,77.409,31.979,8.9853,26.365,7.0878,18.466,1.6809,33.203,13.681,24.231,1.3033,18.234,2.262,4.7705,2.2467,0.035414,0.81193,0.092492,54.279,44.57
62.13,54.613,24.942,60.545,23.028,38.023,37.09,46.937,46.63,40.601,17.54,50,0.25966,3600.3,4551.1,9.2018,26.786,42.075,2713.6,75.145,120.37,0.32483,79.694,49.657,2642.6,24.329,50.174,3105.8,23.197,65.68,227.44,343.79,94.769,76.906,31.99,8.7314,26.373,6.9413,18.355,1.6642,32.98,13.572,24.107,1.2091,18.288,2.2771,4.8297,2.2017,0.035414,0.81193,0.092492,54.279,44.57
62.10,54.489,25.519,61.41,23.075,38.17,37.357,46.115,46.213,41.097,20.637,50,0.25379,3602.5,4561.5,9.1919,26.983,42.225,2712.2,75.236,120.41,0.32362,79.532,49.747,2641,24.425,49.819,3105.7,21.905,65.541,226.55,343.74,94.87,76.95,31.99,8.7314,26.373,6.9413,18.355,1.6642,32.98,13.572,24.107,1.2091,18.288,2.2771,4.8297,2.2017,0.035414,0.81193,0.092492,54.279,44.57
62.69,54.902,25.401,60.716,22.879,36.781,42.179,48.269,46.091,39.945,17.988,50,0.25715,3635.3,4555,9.2762,26.772,42.141,2713.1,75.545,120.37,0.3087,79.511,51.386,2641.8,27.193,50.75,3107.8,23.035,65.446,226.76,343.5,94.784,76.836,32.296,8.9032,26.494,6.6967,18.898,1.6461,33.206,13.731,24.292,1.0834,18.442,2.2561,4.8814,2.3437,0.006514,0.81713,0.093951,53.743,43.039
63.27,54.811,25.435,61.269,23.381,36.676,35.233,46.928,45.834,41.092,18.088,50,0.2568,3601.9,4562.5,9.3093,27.146,41.993,2717.9,75.459,120.42,0.30956,79.861,49.026,2647.4,26.264,50.17,3110.1,22.96,65.388,226.03,343.53,94.766,77.715,32.296,8.9032,26.494,6.6967,18.898,1.6461,33.206,13.731,24.292,1.0834,18.442,2.2561,4.8814,2.3437,0.006514,0.81713,0.093951,53.743,43.039
63.58,53.798,22.616,60.633,22.916,38.468,32.831,47.206,45.543,41.157,15.085,50,0.22713,3711.9,4537.9,9.2915,26.512,42.487,2717,75.839,120.43,0.32763,80.029,48.21,2646.8,24.848,50.291,3111.2,24.23,65.429,225.62,343.45,94.472,77.347,32.602,8.9346,26.287,6.7196,18.498,1.6815,32.706,13.73,23.756,1.2715,17.902,2.2339,4.7716,2.2746,0.006514,0.81713,0.093951,53.743,43.039
63.69,53.874,22.618,64.786,22.759,38.812,33.706,44.917,45.392,41.532,17.646,50,0.22711,3705.2,4531.5,9.0755,26.591,42.31,2715.4,76.385,120.43,0.32482,80.007,48.507,2644.2,25.986,49.301,3109.1,23.151,65.44,223.65,343.01,94.464,77.239,32.602,8.9346,26.287,6.7196,18.498,1.6815,32.706,13.73,23.756,1.2715,17.902,2.2339,4.7716,2.2746,0.006514,0.81713,0.093951,53.743,43.039
63.46,54.132,19.374,59.08,22.511,38.442,41.262,45.602,45.084,41.048,19.87,50,0.1956,3716.8,4593.1,9.258,26.86,42.243,2709.7,76.06,120.4,0.32652,79.884,51.074,2638.7,25.32,49.597,3105.9,22.227,65.415,223.44,342.7,94.499,76.879,32.167,8.9839,26.331,6.7639,18.942,1.6116,32.782,13.635,23.854,1.1978,18.434,2.2678,4.7717,2.2103,0.006514,0.81713,0.093951,53.743,43.039
63.69,55.119,19.049,62.207,22.344,38.65,40.05,44.119,45.059,41.493,18.984,50,0.1989,3703.5,4510.6,9.3156,26.644,42.529,2705.2,76.03,120.4,0.32481,79.688,50.663,2634.8,25.482,48.956,3101.6,22.603,65.37,221.19,342.25,94.548,77.046,32.167,8.9839,26.331,6.7639,18.942,1.6116,32.782,13.635,23.854,1.1978,18.434,2.2678,4.7717,2.2103,-0.00031148,0.8233,0.097287,53.554,44.567
63.52,54.122,23.433,60.442,22.437,37.302,43.815,47.329,44.763,41.22,19.219,50,0.23432,3698.1,4503.6,9.2889,27.053,42.045,2703.6,74.789,120.4,0.31342,79.71,51.942,2632.3,24.861,50.343,3099.8,22.521,65.297,221.38,341.52,94.701,76.75,31.88,8.9593,26.067,6.9575,18.847,1.6408,33.014,13.866,24.251,1.2583,18.405,2.249,4.7452,2.3498,-0.00031148,0.8233,0.097287,53.554,44.567
63.43,53.992,23.094,62.893,22.239,37.559,37.507,45.915,44.655,41.365,20.637,50,0.23776,3703.4,4514.5,9.088,26.962,42.235,2703.4,75.163,120.4,0.31131,79.936,49.799,2631.8,24.581,49.733,3099.4,21.91,65.272,219.48,340.96,94.541,77.28,31.88,8.9593,26.067,6.9575,18.847,1.6408,33.014,13.866,24.251,1.2583,18.405,2.249,4.7452,2.3498,-0.00031148,0.8233,0.097287,53.554,44.567
63.10,54.075,26.046,59.42,22.233,40.559,37.682,50.47,44.174,40.259,18.799,50,0.26669,3624.9,4525.4,9.3037,26.736,42.168,2703.2,75.127,120.37,0.33642,80.037,49.858,2631.3,25.382,51.701,3099.6,22.679,65.311,221.74,340.79,94.687,77.344,32.257,8.872,26.529,6.8036,18.398,1.6177,33.24,13.883,24.072,1.2495,18.342,2.2592,4.8161,2.2907,-0.00031148,0.8233,0.097287,53.554,44.567
62.92,54.512,26.001,63.108,22.099,40.166,38.876,47.194,44.26,40.949,19.67,50,0.26716,3635.6,4488.8,9.2146,26.831,42.586,2704.6,75.113,120.4,0.33964,80.326,50.264,2632.9,24.849,50.285,3101.4,22.3,65.34,217.61,340.61,94.665,77.471,32.257,8.872,26.529,6.8036,18.398,1.6177,33.24,13.883,24.072,1.2495,18.342,2.2592,4.8161,2.2907,-0.00031148,0.8233,0.097287,53.554,44.567
63.66,54.92,22.876,60.199,21.928,40.634,34.817,43.782,43.95,40.764,19.674,50,0.22859,3670.9,4548.9,9.3527,26.82,42.256,2702.2,75.883,120.41,0.34012,80.229,48.884,2630.9,26.104,48.811,3100.7,22.301,65.379,219.36,340.33,94.648,77.266,32.234,8.8512,26.273,6.8532,18.91,1.6543,32.998,13.778,24.385,1.2338,18.46,2.2745,4.8419,2.3609,0.014402,0.84308,0.09609,53.384,44.634
63.08,54.691,22.673,60.342,21.988,40.466,34.584,44.755,44.11,40.802,16.633,50,0.23065,3705,4568.1,9.2751,26.935,42.335,2700.3,75.883,120.41,0.3415,80.183,48.805,2628.8,26.311,49.231,3099.5,23.584,65.375,215.04,339.66,94.655,77.27,32.234,8.8512,26.273,6.8532,18.91,1.6543,32.998,13.778,24.385,1.2338,18.46,2.2745,4.8419,2.3609,0.014402,0.84308,0.09609,53.384,44.634
63.49,54.292,22.916,62.19,21.938,39.171,37.528,48.842,44.009,40.921,20.727,50,0.23131,3658.5,4498.2,9.1625,27.018,42.35,2698.3,75.445,120.38,0.32929,80.094,49.806,2626.9,25.974,50.997,3097.5,21.876,65.331,213.68,339.5,94.684,76.871,31.933,8.9178,26.713,6.9128,18.563,1.6335,32.514,13.823,24.3,1.082,19.021,2.2466,4.8691,2.4081,0.014402,0.84308,0.09609,53.384,44.634
62.92,53.871,22.786,60.774,21.725,39.505,37.331,48.888,43.634,40.88,17.871,50,0.23264,3691.9,4533.3,9.174,27.124,42.09,2696.1,76.304,120.38,0.32655,79.988,49.739,2624.2,24.932,51.017,3095,23.087,65.268,215.43,339.11,94.731,76.88,31.933,8.9178,26.713,6.9128,18.563,1.6335,32.514,13.823,24.3,1.082,19.021,2.2466,4.8691,2.4081,0.014402,0.84308,0.09609,53.384,44.634
62.87,54.6,25.801,61.416,21.208,40.157,37.545,42.837,43.468,40.428,18.413,50,0.2625,3663.9,4544.2,9.3663,26.774,42.153,2695.5,74.323,120.38,0.33076,80.098,49.811,2623.6,25.1,48.403,3096.4,22.847,65.222,214.85,338.4,94.765,77.289,32.147,8.8744,26.473,7.0114,18.596,1.6429,33.3,13.947,23.815,1.3537,19.009,2.2238,4.8541,2.2596,0.014402,0.84308,0.09609,53.384,44.634
63.25,54.499,25.927,59.47,21.356,39.509,34.472,43.815,43.566,40.929,19.84,50,0.26122,3642.2,4552.6,9.2208,26.905,42.476,2696.2,75.727,120.39,0.33607,80.155,48.767,2623.4,25.752,48.825,3095.7,22.261,65.232,216.91,338.63,94.772,76.895,32.147,8.8744,26.473,7.0114,18.596,1.6429,33.3,13.947,23.815,1.3537,19.009,2.2238,4.8541,2.2596,0.0031009,0.84795,0.077562,54.13,44.336
62.27,54.525,23.959,60.348,21.841,41.806,41.701,47.714,43.688,40.944,14.219,50,0.24285,3644.7,4546.3,9.2967,26.759,42.422,2694.9,75.733,120.39,0.34528,80.162,51.224,2623.1,27.174,50.51,3094.2,24.617,65.204,215.54,338.66,94.831,77.409,32.414,8.9216,26.297,6.979,19.028,1.6673,32.393,13.928,23.856,1.4698,18.968,2.237,4.7897,2.2694,0.0031009,0.84795,0.077562,54.13,44.336
62.17,54.522,23.899,62.304,21.595,41.444,37.917,47.224,43.659,40.865,18.368,50,0.24346,3650.1,4546.6,9.1873,26.845,42.292,2697,74.914,120.39,0.34825,80.399,49.938,2624.7,25.261,50.298,3095.6,22.856,65.261,215.83,338.15,94.788,77.574,32.414,8.9216,26.297,6.979,19.028,1.6673,32.393,13.928,23.856,1.4698,18.968,2.237,4.7897,2.2694,0.0031009,0.84795,0.077562,54.13,44.336
62.71,53.867,21.216,59.704,21.439,41.488,38.572,48.896,43.601,40.867,20.162,50,0.21715,3629.2,4512.3,9.2836,27.1,42.03,2695.5,74.562,120.39,0.34511,80.497,50.16,2624.3,24.457,51.021,3095.2,22.107,65.329,216.41,338.03,94.791,77.18,32.215,9.0368,26.554,6.9215,18.734,1.707,32.432,14.018,23.96,1.1866,18.914,2.2413,4.8203,2.2723,0.0031009,0.84795,0.077562,54.13,44.336
62.39,53.867,21.307,61.828,20.964,41.624,37.879,43.565,43.611,40.459,17.185,50,0.21623,3647.9,4512.3,9.2786,26.53,42.44,2692.4,75.074,120.4,0.344,80.336,49.925,2620.2,26.725,48.717,3093.7,23.358,65.328,216.23,337.38,94.909,77.375,32.215,9.0368,26.554,6.9215,18.734,1.707,32.432,14.018,23.96,1.1866,18.914,2.2413,4.8203,2.2723,0.0031009,0.84795,0.077562,54.13,44.336
62.79,54.552,23.064,59.68,21.062,42.474,36.646,49.496,43.964,40.187,17.645,50,0.23433,3650,4513.9,9.155,26.752,42.318,2693,74.887,120.39,0.35853,80.493,49.506,2621.4,25.697,51.28,3094.9,23.158,65.339,213.81,336.9,94.819,77.449,31.69,8.993,26.203,6.9245,19.155,1.6233,32.499,13.983,23.897,1.3719,19.531,2.2322,4.8107,2.2969,-0.00081944,0.86174,0.13179,54.066,43.529
63.21,54.325,23.088,63.08,21.031,42.814,37.603,44.656,43.756,41.412,20.127,50,0.23408,3625.6,4532.9,9.279,26.964,42.278,2692.2,75.52,120.43,0.35574,80.442,49.831,2619.2,27.381,49.189,3093.6,22.116,65.385,216.75,337.14,94.81,77.303,31.69,8.993,26.203,6.9245,19.155,1.6233,32.499,13.983,23.897,1.3719,19.531,2.2322,4.8107,2.2969,-0.00081944,0.86174,0.13179,54.066,43.529
62.52,53.258,28.293,62.094,21.066,42.591,34.571,46.673,44.073,40.669,16.414,50,0.28747,3662.1,4533.3,9.1175,27.1,42.134,2691.7,75.195,120.39,0.35213,80.438,48.801,2620,24.867,50.06,3093.6,23.68,65.379,213.81,336.51,94.823,77.319,31.942,8.8709,26.196,6.8159,19.09,1.6295,32.021,13.981,23.552,1.4405,19.264,2.2716,4.7951,2.3343,-0.00081944,0.86174,0.13179,54.066,43.529
62.34,53.425,28.287,60.877,21.05,42.493,38.803,43.263,43.963,40.918,19.44,50,0.28753,3672.7,4519.3,9.2448,26.792,42.216,2694.2,74.251,120.4,0.35293,80.624,50.239,2621.9,26.226,48.586,3094.2,22.389,65.394,215.65,336.96,94.638,77.689,31.942,8.8709,26.196,6.8159,19.09,1.6295,32.021,13.981,23.552,1.4405,19.264,2.2716,4.7951,2.3343,-0.00081944,0.86174,0.13179,54.066,43.529
63.61,53.651,26.355,59.739,20.943,42.494,42.193,45.927,44.229,41.066,18.13,50,0.26617,3654.9,4509,9.2451,26.896,41.989,2692.1,75.976,120.4,0.3544,80.488,51.391,2619.3,25.834,49.738,3094.8,22.963,65.384,213.26,336.64,94.765,76.952,31.48,8.8834,26.301,6.8552,19.814,1.6717,32.584,13.799,23.894,1.2663,18.907,2.2683,4.9077,2.279,-0.00081944,0.86174,0.13179,54.066,43.529
